Jackson,Deutsch Kurzhaar,Jamalia Guerrero,2016-04-19
Jade,Rottweiler,Burton Mathews,2014-03-21
Craig,Grosspudel,Armando Woods,2016-04-09
Blossom,Zwergschnauzer,Darryl Rosario,2014-06-04
Sade,Norfolk Terrier,Alika Chavez,2017-10-25
Malcolm,Deutscher Schaeferhund,Maggy Terrell,2020-12-11
Francis,Neufundlaender,Yoko Bradford,2010-11-22
Reuben,Scottish Terrier,Derek Durham,2013-08-14
Beau,Scottish Terrier,Astra Vincent,2018-01-20
Cleo,Pinscher,Cassidy Pitts,2018-12-05
Suki,Scottish Terrier,Mannix Lancaster,2020-11-20
Ian,Riesenschnauzer,Bernard Mayer,2017-07-21
Taylor,Deutscher Schaeferhund,Wendy Gaines,2012-08-29
Kevin,Scottish Terrier,Urielle Grimes,2018-06-25
Wayne,Pudel,Elaine Blankenship,2013-11-13
Zephr,Pekingese,Aspen Wiggins,2013-06-03
Lila,Deutsche Dogge,Noelani Benton,2015-05-11
Gloria,Zwergpinscher,Suki Nelson,2012-08-29
Mara,Grosspudel,Deacon Oneill,2015-01-22
Martin,Bull Terrier,Ava Maldonado,2011-10-17
Alea,Chihuahua,Micah Middleton,2014-01-03
Quentin,Golden Retriever,Eden Lloyd,2015-01-26
Boris,Pinscher,Ori Merritt,2011-04-17
Jesse,Labrador Retriever,Aretha Paul,2019-05-21
Janna,Franzoesische Bulldogge,Macey Bates,2017-01-06
Samuel,Labrador Retriever,Selma Sexton,2013-02-22
Judith,Pekingese,Colin Abbott,2017-12-22
Aquila,Beagle,Brandon Gilmore,2014-07-22
Jacqueline,Zwergpinscher,Brennan Spencer,2014-05-27
Shellie,Rottweiler,Ila Allison,2017-11-17
Jordan,Deutsch Kurzhaar,Damon Gray,2013-09-22
Mufutau,Riesenschnauzer,Xenos Giles,2018-07-14
Nicole,Deutsch Langhaar,Oleg Lowe,2013-07-06
Shoshana,Mastiff,Herrod Greer,2010-12-03
Blake,Dalmatiner,Coby Colon,2014-01-27
Slade,Deutsche Dogge,Denise Michael,2012-09-06
Geoffrey,Irish Terrier,Brock Long,2014-10-11
Paki,Grosspudel,Samuel Yang,2013-07-17
Hayley,Bearded Collie,Kirby Brooks,2017-02-23
Yen,Deutsch Kurzhaar,Keegan Black,2015-10-01
Garth,Dachshund,Sacha Howard,2014-01-07
Oliver,Rottweiler,Aristotle Browning,2012-12-01
Barry,Malteser,Flavia Espinoza,2020-04-21
Charles,Bearded Collie,Avye Lara,2015-01-16
Jackson,Dobermann,Sandra Riley,2010-06-13
Medge,Malteser,Wynter Alvarez,2010-08-03
Maite,Dachshund,Carla Santiago,2019-10-15
Echo,Yorkshire Terrier,Mari Mathis,2015-08-10
Brendan,Zwergschnauzer,Timon Moreno,2013-09-27
Yeo,Bull Terrier,Ryder Hamilton,2017-12-24
Lacota,Labrador Retriever,Glenna Davidson,2020-02-18
Chiquita,Golden Retriever,Sophia Mcguire,2020-04-26
Curran,Pinscher,Keefe Kim,2010-06-23
Ocean,Deutscher Schaeferhund,Sigourney Emerson,2011-11-10
Myra,Franzoesische Bulldogge,Lenore Pate,2019-03-04
Autumn,Norfolk Terrier,Zoe Cardenas,2011-11-05
Reed,Zwergschnauzer,Natalie Gross,2016-10-18
Hector,Norfolk Terrier,Blossom Mcintosh,2012-05-22
Shoshana,Pinscher,Dominique Boyle,2010-09-19
Hanae,Riesenschnauzer,Troy Lang,2012-12-07
Lenore,Dachshund,Meredith Austin,2011-12-25
Dorian,Pudel,Grady Norton,2010-02-21
Ulric,Collie Langhaar,Halla Daniels,2015-05-09
Bianca,Bull Terrier,Simon Ferrell,2013-02-09
Athena,Malteser,Hayley Marshall,2020-06-25
Nora,Chihuahua,Kiona Fulton,2020-07-09
Tallulah,Deutsche Dogge,Zia Bruce,2016-10-02
Audra,Boxer,Elton Cabrera,2016-10-04
Fritz,Kromfohrlaender,Vance Cameron,2019-12-15
Rahim,Rottweiler,Elijah Nixon,2015-03-05
Omar,Zwergschnauzer,Cassandra Mccarthy,2011-03-15
Paula,Pinscher,Faith Wong,2020-08-08
Jael,Bull Terrier,Macy Bray,2012-09-14
Abra,Dachshund,Lacota Harris,2017-07-27
Noel,Yorkshire Terrier,Colorado Guthrie,2020-06-04
Xyla,Scottish Terrier,Lesley Paul,2010-08-22
Tamara,Bull Terrier,Reed Hewitt,2020-05-31
Aileen,Dachshund,Silas Robbins,2016-06-09
Brendan,Boxer,Jemima Justice,2012-11-04
Evangeline,Pinscher,Dacey Ryan,2012-10-29
Winifred,Chihuahua,Ainsley Valentine,2018-04-17
Thor,Dachshund,Jessica Giles,2019-01-20
Ronan,Irish Terrier,Samson Atkinson,2010-02-01
Piper,Deutsche Dogge,Sacha Carey,2020-11-03
Abigail,Mops,Sade Farmer,2019-12-12
Dante,Mops,Daphne Osborne,2013-05-03
Baxter,Collie Langhaar,Kitra Lee,2011-07-07
Benjamin,Bull Terrier,Jared Riley,2015-08-20
Hiram,Bearded Collie,Sean Clay,2012-12-10
Reese,Pekingese,Fulton Floyd,2017-06-14
Shad,Bernhardiner,Denton Hurley,2016-03-10
Gray,Pekingese,Shelly Adams,2018-01-19
Edward,Deutsche Dogge,Maxine Morris,2017-05-09
Amir,Malteser,Medge Molina,2013-12-01
Hashim,Malteser,Lenore Baxter,2010-01-12
Ina,Neufundlaender,Dawn Bird,2017-09-15
Avye,Irish Terrier,Yeo Tucker,2011-06-19
Lydia,Irish Terrier,Irma Allison,2013-08-23
Rosalyn,Dalmatiner,Imelda Jacobson,2018-12-24
Jane,Cocker-Spaniel,Wynne Saunders,2016-05-01
Logan,Neufundlaender,Gemma Day,2013-07-03
Vivian,Dobermann,Ainsley Bright,2019-08-28
Darryl,Bernhardiner,Laurel Edwards,2016-11-17
Griffith,Dalmatiner,Urielle Padilla,2017-08-09
Cedric,Mops,Lara Shields,2013-10-30
Nomlanga,Deutsch Langhaar,Amery Pitts,2018-11-08
William,Grosspudel,Mohammad Hanson,2016-01-05
Jessica,Cocker-Spaniel,Levi Houston,2013-01-13
Kameko,Zwergschnauzer,Nina Adams,2011-10-26
Joshua,Pinscher,Michael Bean,2015-11-20
Lavinia,Deutscher Schaeferhund,Deborah Wood,2019-09-24
August,Bearded Collie,Isaiah Bean,2014-02-17
Thaddeus,Deutscher Schaeferhund,Renee Allen,2012-08-17
Jasmine,Rottweiler,Jessamine Young,2020-03-24
Adria,Golden Retriever,Caryn Moon,2014-09-19
Paula,Franzoesische Bulldogge,Reuben Calhoun,2015-08-04
Brynne,Cocker-Spaniel,Ruby Peterson,2020-05-28
Warren,Berner Sennenhund,Avram Campos,2015-05-31
Rafael,Mastiff,Ezra Juarez,2014-08-09
Orla,Mastiff,Dacey Pate,2018-04-02
Jin,Border Collie,Signe Flores,2011-10-01
Leila,Scottish Terrier,Judith Barry,2015-10-31
Scott,English Cocker Spaniel,Martha Barrett,2020-12-15
Jenette,Yorkshire Terrier,Hermione Salazar,2014-07-05
Murphy,Grosspudel,Simon Kerr,2014-01-15
Dane,Pudel,Sawyer Sheppard,2016-03-09
Ignacia,Norfolk Terrier,Quinn Mclaughlin,2012-05-15
Jesse,Chihuahua,Sonia Ruiz,2015-07-18
Amanda,Collie Langhaar,Fletcher Aguirre,2017-07-06
Eleanor,Pinscher,Beverly Whitney,2010-10-24
Connor,Labrador Retriever,Deanna Cleveland,2020-07-05
Herrod,Deutscher Schaeferhund,Carson Knox,2013-05-03
Talon,Deutsch Langhaar,Brandon Acosta,2012-09-27
Marny,Deutsch Langhaar,Amity Duke,2015-10-25
Julian,Riesenschnauzer,Ivan Nielsen,2010-06-20
Nicholas,Boxer,Hollee Kinney,2014-04-22
Kessie,Bull Terrier,Mariko Burgess,2018-07-06
Zorita,Cocker-Spaniel,Genevieve Mendez,2012-06-10
Eleanor,Deutsch Kurzhaar,Seth Barnes,2019-03-21
Neil,Collie Langhaar,Wyoming Chambers,2013-05-04
Cedric,Deutsche Dogge,Portia Cooley,2012-05-13
Bethany,Pekingese,Jonah Chapman,2016-10-19
Valentine,Chihuahua,Victoria Rutledge,2010-12-01
Emily,Bearded Collie,Indira Davenport,2019-03-17
Tamekah,Golden Retriever,Shelby Harrington,2018-04-14
Benjamin,Riesenschnauzer,Maris Norman,2012-05-18
Jin,Pinscher,Plato Rice,2019-05-25
Cally,Boxer,Maisie Collins,2016-10-25
Hedley,Pudel,Julie Fields,2015-08-11
Raya,Dachshund,Shana Howard,2020-01-14
Whitney,English Cocker Spaniel,Alea Scott,2015-09-11
Gavin,Yorkshire Terrier,Kennedy Hutchinson,2019-01-26
Ashely,Labrador Retriever,Declan Holman,2016-12-05
Catherine,Rottweiler,Justine Slater,2016-04-04
Abdul,Yorkshire Terrier,Illana Vang,2020-03-13
Vivien,Pekingese,Gavin Fowler,2015-05-30
Constance,Mastiff,Ezekiel Delgado,2020-09-26
Callie,Golden Retriever,Orson Rogers,2017-03-07
Eleanor,Labrador Retriever,Naida Maddox,2011-01-22
Chelsea,Bull Terrier,Selma Mcdowell,2017-04-27
Randall,Franzoesische Bulldogge,Hedley Elliott,2013-08-02
Jael,Irish Terrier,Kamal Stone,2016-09-06
Hillary,Riesenschnauzer,Avram Nguyen,2019-06-01
Indira,Kromfohrlaender,Kelly Lee,2018-09-22
Kirk,Mastiff,Quentin Morrow,2013-11-05
Kameko,Zwergschnauzer,Melissa Stevenson,2018-02-01
Sopoline,Deutsche Dogge,Meghan Lynch,2016-10-02
Lionel,Golden Retriever,Heather Mack,2011-02-12
Velma,Collie Langhaar,Maisie Combs,2010-01-29
Margaret,Deutsche Dogge,Ralph Harrison,2012-11-21
Quail,Neufundlaender,Desirae House,2010-02-25
Blossom,Yorkshire Terrier,Lara Powell,2019-04-17
Neville,Pekingese,Dale Nicholson,2011-07-23
Palmer,Kromfohrlaender,Keane Andrews,2019-12-03
Travis,Irish Terrier,Melanie Travis,2012-02-02
Aphrodite,Scottish Terrier,Gregory Mueller,2018-07-02
Gil,Chihuahua,Chiquita Barnett,2017-07-05
Gareth,Deutsche Dogge,Raphael Patton,2014-02-23
Salvador,Bernhardiner,Tanisha Burns,2019-06-07
Elton,Deutsche Dogge,Florence Petersen,2016-04-03
Jenette,Pekingese,Meredith Mcmillan,2017-01-11
Blake,Irish Terrier,Helen Blankenship,2020-01-22
Karyn,Deutsch Kurzhaar,Rhona Fleming,2010-05-13
Lucius,Deutsch Langhaar,Liberty Landry,2014-09-22
Kirestin,Pinscher,Hyacinth Cash,2013-07-03
McKenzie,Bernhardiner,Hanae Briggs,2017-11-17
Noah,Chihuahua,Rose Nolan,2014-04-21
Raphael,English Cocker Spaniel,Ramona Mullins,2012-04-24
Randall,Rottweiler,Beau Golden,2012-08-21
Hector,Dachshund,Tatiana Mcbride,2015-08-08
Erica,Golden Retriever,Veronica Flowers,2015-02-15
Zeus,Pinscher,Heidi Hubbard,2019-11-26
Hiram,Dobermann,Hayden Tate,2011-03-04
Rebekah,Bernhardiner,Ivana Curry,2011-12-03
Louis,Dalmatiner,Joseph Richmond,2016-04-11
Veronica,Scottish Terrier,Whitney Cross,2019-04-23
Ann,Dobermann,Hunter Freeman,2011-07-06
Curran,Rottweiler,Hall Clements,2010-04-04
Adrian,Cocker-Spaniel,Maris Crane,2013-07-28
Alexa,Labrador Retriever,Josiah Spence,2010-06-17
Charles,Boxer,Shannon Griffin,2020-04-14
Warren,Neufundlaender,Marsden Jacobs,2017-12-27
Kerry,Pudel,Philip Battle,2011-04-09
Baxter,Beagle,Harper Bennett,2013-07-26
Ralph,Collie Langhaar,Aubrey Evans,2014-05-21
Guy,Yorkshire Terrier,Jelani Scott,2020-11-04
Elliott,Boxer,Mariko Holt,2013-06-22
Adam,Pekingese,Dorian Wade,2018-07-06
Shelly,Boxer,Phelan Jarvis,2010-12-10
Sacha,Dobermann,Lunea Castro,2016-10-22
Maite,Boxer,Peter Meyer,2017-07-10
Ila,Cocker-Spaniel,Sawyer Skinner,2013-11-01
Linus,Pudel,Hop Carney,2016-05-01
Tyler,Chihuahua,Slade Vance,2019-04-26
Victor,Irish Terrier,Hayden Dunn,2020-11-03
Arden,Scottish Terrier,Yoshio Carlson,2019-04-18
Melissa,Golden Retriever,Hilel Rosario,2013-09-29
Joel,Bull Terrier,Kasimir Mckenzie,2013-11-14
Davis,Golden Retriever,Brody Clark,2014-08-15
Lillith,Collie Langhaar,Keefe Lambert,2014-02-15
Brett,Riesenschnauzer,Blaine Santiago,2018-01-30
Natalie,Deutscher Schaeferhund,Sopoline Kerr,2014-12-21
Haley,Golden Retriever,Cameran Adkins,2019-03-04
Chase,Kromfohrlaender,James Hutchinson,2018-12-08
Francesca,English Cocker Spaniel,Ina Pierce,2011-10-21
Lacy,Kromfohrlaender,Garrett Henry,2010-04-13
Montana,Cocker-Spaniel,Cleo Wallace,2018-03-23
Tate,Dachshund,David Manning,2018-06-14
Shea,Dobermann,Calista Patton,2010-07-29
Kieran,Mops,Quentin West,2015-04-29
Joel,Riesenschnauzer,Chloe Horton,2013-05-02
Rebekah,Zwergschnauzer,Jana Dejesus,2011-11-02
Damon,Bernhardiner,Slade Bradford,2014-05-30
Patricia,English Cocker Spaniel,Merritt Woods,2015-02-10
Drew,Deutsch Langhaar,Mechelle Sutton,2020-04-09
Abbot,Dalmatiner,Hamilton Wallace,2012-12-03
Kylynn,Bernhardiner,Patrick Fitzpatrick,2017-09-11
Kevin,Zwergschnauzer,Finn Schroeder,2011-03-16
Xantha,Grosspudel,Megan Owen,2017-09-03
Plato,Dachshund,Mason Dale,2010-07-28
Magee,Grosspudel,Adele Noble,2014-10-02
Mohammad,Rottweiler,Sybill Singleton,2013-07-14
Wyoming,Grosspudel,Sophia Johns,2011-07-06
Mara,Mastiff,McKenzie Ballard,2014-02-08
Dillon,Deutsch Langhaar,Melinda Hurst,2017-10-10
Palmer,Yorkshire Terrier,Shoshana Hebert,2012-06-13
Xena,Irish Terrier,Tiger Lee,2012-06-01
Ria,Irish Terrier,Emerson Gregory,2011-04-24
Len,Deutsch Kurzhaar,Tamara Cruz,2017-07-21
Darrel,Border Collie,Rooney Stanley,2012-01-02
Mia,Zwergpinscher,Cheryl Doyle,2015-03-27
Macaulay,Deutscher Schaeferhund,Simon Pope,2020-11-10
Nomlanga,Riesenschnauzer,Joel Dudley,2017-12-02
Brianna,Malteser,Kiayada Butler,2014-02-12
Uma,Kromfohrlaender,Mechelle Trevino,2016-01-07
Shellie,Deutsch Kurzhaar,Chantale Harrison,2016-07-03
Maxwell,Grosspudel,Hyatt Odonnell,2016-10-14
Raja,Scottish Terrier,Katelyn Aguilar,2017-01-01
Lillian,Chihuahua,Eagan Alvarado,2017-08-13
Barry,Chihuahua,Blythe Baker,2020-09-17
Arsenio,Mastiff,Melanie Monroe,2014-07-25
Amal,Scottish Terrier,Murphy Trevino,2011-04-02
Laith,Pekingese,Alexandra Wilder,2014-05-09
Griffin,Irish Terrier,Mufutau Mcconnell,2011-05-18
Alyssa,Deutscher Schaeferhund,Fallon Mercer,2015-08-17
Alan,Dachshund,Regan Talley,2016-02-10
Olivia,Border Collie,Mona Ingram,2018-09-03
Jamal,Norfolk Terrier,Hashim Mckee,2020-07-25
Craig,Rottweiler,Gwendolyn Morales,2017-06-16
Minerva,Rottweiler,Lamar Weeks,2018-03-31
Zachery,Franzoesische Bulldogge,Cadman Lopez,2011-05-27
Carl,Collie Langhaar,Lisandra Boyd,2012-01-15
McKenzie,Zwergpinscher,Delilah Cannon,2017-09-11
Lucy,Zwergschnauzer,Nero Browning,2012-12-13
Keegan,Dalmatiner,Kellie Whitfield,2014-07-28
Kiara,Zwergschnauzer,Alika Garner,2020-11-15
Rajah,Boxer,Gay Carter,2020-01-27
Ferris,Beagle,Oprah Hebert,2015-10-19
Deacon,Golden Retriever,Kaye Foster,2012-02-17
Elijah,Zwergschnauzer,Aaron Arnold,2018-06-19
Carter,Mastiff,Malachi Powell,2015-02-26
Olivia,Deutsch Kurzhaar,Lunea Flynn,2019-02-20
Alec,Boxer,Audra Ball,2012-07-11
Ignacia,Yorkshire Terrier,Bo Dejesus,2012-08-30
Kareem,Berner Sennenhund,Dacey Rosa,2020-06-03
Micah,Rottweiler,Cody Carlson,2013-09-16
Daquan,Border Collie,Hilary Nolan,2018-12-01
Yen,Pinscher,Kristen Richmond,2014-02-04
Steel,Berner Sennenhund,Gay Atkins,2013-08-20
Dorian,Mops,Emma Ochoa,2011-07-15
Lael,Deutsche Dogge,Brendan Crawford,2013-02-10
Rashad,Labrador Retriever,Perry Price,2011-03-05
Samuel,Zwergschnauzer,Upton Owens,2016-12-23
Wanda,Pekingese,Rhonda Nielsen,2018-08-19
Robin,Collie Langhaar,Hillary Rocha,2020-05-06
Rahim,Labrador Retriever,Shaine Grant,2013-05-25
Jade,Pinscher,Amos Fitzgerald,2016-03-19
Giacomo,Collie Langhaar,Sophia Mercado,2012-05-21
Miriam,Dobermann,Kamal Meyer,2012-09-16
Julian,Collie Langhaar,Walter Lloyd,2019-09-23
Nina,Franzoesische Bulldogge,Charlotte Parsons,2012-09-10
Shad,Scottish Terrier,Ivana Peck,2018-02-11
Susan,Labrador Retriever,Hermione Mayo,2016-05-24
Reagan,Dalmatiner,Steel Pacheco,2019-08-27
Jane,Border Collie,Ivan Clemons,2017-05-23
Daniel,Mastiff,Lenore Munoz,2016-02-04
Lucius,Dobermann,Shaine Wise,2020-08-09
Nyssa,Scottish Terrier,Carlos Cook,2011-09-26
Plato,Scottish Terrier,Tara Grant,2018-10-05
Janna,Kromfohrlaender,Amelia Chaney,2012-06-30
Audrey,Deutsch Langhaar,Bruno Mcfadden,2018-12-18
Cara,Rottweiler,Neve Bean,2012-07-16
Clare,Mastiff,Florence Caldwell,2013-06-30
Adara,Deutscher Schaeferhund,Judah Palmer,2019-12-02
Kelly,Cocker-Spaniel,Kirk Gross,2011-06-16
Wing,Deutsch Kurzhaar,Adrian Puckett,2019-03-04
Jelani,Cocker-Spaniel,Jaden Cummings,2019-07-18
Claudia,English Cocker Spaniel,Maisie Michael,2010-12-09
Joseph,Beagle,Zane Schmidt,2010-11-27
Fuller,Grosspudel,Noelle Burke,2015-04-20
Lilah,Labrador Retriever,Irma Hester,2010-01-16
Leilani,Zwergpinscher,Warren Bullock,2018-01-02
Keane,Collie Langhaar,Gannon Landry,2010-10-19
Alice,Deutsch Kurzhaar,Nolan Salas,2020-05-27
Steel,Deutscher Schaeferhund,Stewart Pate,2011-07-31
Oliver,Kromfohrlaender,Montana Callahan,2012-06-11
Cade,Mops,Trevor Hooper,2015-11-15
Rhea,Bernhardiner,Tarik Caldwell,2013-08-16
Amery,Pudel,Harding Shaffer,2011-08-18
Ariel,Collie Langhaar,Vaughan Moses,2017-03-31
Azalia,Labrador Retriever,Germane Quinn,2020-10-22
Chaney,Labrador Retriever,Adena Mccullough,2012-05-12
Cara,Cocker-Spaniel,Geoffrey Hooper,2019-01-24
Iona,Mastiff,Joshua Chase,2013-12-29
Honorato,Kromfohrlaender,Ruth Dunn,2011-07-13
Anjolie,Zwergpinscher,Casey Alston,2018-11-01
Kieran,Dobermann,Nash Lyons,2019-09-04
Alea,Bernhardiner,Cathleen Ray,2019-12-03
Harlan,Deutsch Langhaar,Cameran Bishop,2018-01-24
Venus,Deutsche Dogge,Ivy Vang,2019-09-21
Willa,Deutsch Kurzhaar,Naida Duffy,2020-09-22
Nola,Bull Terrier,Hyacinth Zimmerman,2016-03-15
Ila,Collie Langhaar,Nicholas Grimes,2016-11-09
Cameron,Collie Langhaar,Chiquita Burch,2016-04-04
Christen,Chihuahua,Kimberley Stewart,2014-04-12
Aurora,Deutsch Kurzhaar,Aileen Allen,2016-01-23
Sacha,Mastiff,Ruby Olson,2013-02-23
Geoffrey,Neufundlaender,Whitney Hoffman,2011-01-25
Germane,Golden Retriever,Xenos Navarro,2014-12-06
Teagan,Labrador Retriever,Ali Sherman,2017-11-24
Bianca,Border Collie,Rajah Johns,2014-01-03
Amber,Bull Terrier,Paul Finch,2019-10-28
Micah,Labrador Retriever,Kelsie Franco,2010-02-15
Knox,Deutsch Langhaar,Xander Riddle,2016-07-09
Yvonne,Pinscher,Ivy Mcbride,2020-11-15
McKenzie,Riesenschnauzer,Zelda Levine,2011-01-22
Malik,Irish Terrier,Abra Perry,2013-06-25
Blake,Dachshund,Alma Murray,2016-07-14
Bo,Rottweiler,Cally Frye,2018-01-12
Bruno,Rottweiler,Driscoll Brooks,2018-11-28
Ivan,Zwergpinscher,David Powers,2015-05-24
Deanna,Boxer,Lavinia Joyce,2016-09-25
Nina,Riesenschnauzer,Ishmael Sykes,2010-06-05
Josiah,Franzoesische Bulldogge,Brenna Lopez,2017-10-17
Brady,Golden Retriever,Anne Buckley,2019-02-19
Aimee,Zwergschnauzer,Travis Black,2016-12-08
Dillon,Malteser,Trevor Bennett,2020-07-01
Daniel,Labrador Retriever,Donovan Dean,2012-09-28
Randall,Mops,Amy Hood,2020-08-14
Aurelia,Bull Terrier,Cleo Diaz,2013-03-28
Kelly,Chihuahua,Britanni Joyner,2012-09-03
Ezekiel,Bull Terrier,Lucy Johnston,2011-12-03
Blake,Chihuahua,Yvette Gillespie,2014-09-13
Claudia,Border Collie,Clementine Kennedy,2013-08-18
Sean,Berner Sennenhund,Gabriel Mueller,2014-09-02
Geraldine,Zwergpinscher,Imogene Davis,2015-07-07
Salvador,Norfolk Terrier,Sage House,2014-03-13
Chadwick,Border Collie,Hyatt Hyde,2017-10-11
Buckminster,Deutsch Langhaar,Maya Lowe,2014-10-06
Brielle,Chihuahua,Roanna Carney,2014-02-07
Althea,Mastiff,Quynn Powers,2010-10-12
Hiram,Berner Sennenhund,Sheila Barnes,2013-09-24
Lucius,Deutsche Dogge,Stewart Morrow,2016-01-31
Herrod,Neufundlaender,Ignatius Mercer,2015-04-13
Dexter,Chihuahua,Eaton Marshall,2014-02-07
Ivan,Border Collie,Nehru Pace,2011-09-06
Basia,Dachshund,Lacey Watson,2020-10-03
Yolanda,Norfolk Terrier,Velma Sims,2010-01-16
Erasmus,Bearded Collie,India Bonner,2020-11-20
Claudia,Deutsche Dogge,Oleg Decker,2015-03-07
Benedict,Bull Terrier,Yuli Howe,2014-12-23
Willa,Riesenschnauzer,Hedley Marks,2010-12-10
Colt,Dachshund,Julie Andrews,2014-06-03
Sophia,Collie Langhaar,Aubrey Moses,2016-01-08
Constance,Grosspudel,Autumn Matthews,2010-08-05
Hilda,Boxer,Lysandra Hurst,2019-12-18
Quintessa,Zwergpinscher,Rafael Barr,2017-08-04
Xantha,Franzoesische Bulldogge,Denise Lyons,2011-01-26
Tashya,Bearded Collie,Wyatt Ballard,2011-02-15
Nelle,Cocker-Spaniel,Fritz Solomon,2011-02-21
Rinah,Riesenschnauzer,Zelda Valdez,2010-07-28
Lev,Zwergschnauzer,Rooney Randolph,2019-11-11
Tamekah,Deutsch Kurzhaar,Hedy Rosario,2013-06-27
Elliott,Berner Sennenhund,Shannon Mcleod,2016-07-31
Kenneth,Beagle,Lacey Patel,2014-06-26
Chaney,Malteser,Rogan Velazquez,2019-01-08
Aretha,Deutsch Kurzhaar,Cain Franks,2011-12-17
Nyssa,Dalmatiner,Florence Carver,2010-12-03
Gregory,Franzoesische Bulldogge,Cairo Stanton,2012-10-11
Sawyer,Chihuahua,Britanney Craft,2019-10-10
Akeem,Labrador Retriever,Mercedes Dunlap,2017-06-29
Lara,Pekingese,Chanda Howe,2020-08-12
Jackson,Deutsch Kurzhaar,Solomon York,2017-09-07
Basia,Labrador Retriever,Sydney Montgomery,2020-02-05
Salvador,Pinscher,Acton Franklin,2019-07-12
Maxwell,Pudel,Lee Hickman,2013-12-20
Sonia,Chihuahua,Garrison Lyons,2019-06-29
Honorato,Mastiff,Shelly Patterson,2016-12-29
Melodie,Boxer,Akeem Patton,2020-02-01
Akeem,Zwergschnauzer,Wylie Ayala,2014-11-01
India,Riesenschnauzer,Joy Harrison,2010-11-26
Todd,Deutsch Langhaar,Tanek Norris,2019-09-25
Mara,Irish Terrier,Vaughan Wilkins,2019-04-06
Kendall,Irish Terrier,Quincy Bates,2017-09-17
Irma,Pekingese,Allen Morton,2019-11-11
Damon,Dachshund,Eric Stevens,2017-01-01
Ferdinand,Golden Retriever,Chadwick Potts,2013-09-29
Christian,Beagle,Wynter Lara,2010-03-12
Carson,Pekingese,Hakeem Horn,2020-11-07
Summer,Franzoesische Bulldogge,Whoopi Chan,2016-02-05
Beck,Norfolk Terrier,Rogan Bell,2017-04-03
Eleanor,Neufundlaender,Tyrone Lambert,2013-02-28
Mechelle,Collie Langhaar,Lareina Miller,2011-05-05
Sopoline,Scottish Terrier,Ava Kidd,2019-03-23
Cooper,Dachshund,Hollee Wilkerson,2011-04-10
Lucius,Dobermann,Nyssa Patton,2016-08-13
Drake,Zwergschnauzer,Walker Noel,2016-03-25
Zachary,Pekingese,Brody Copeland,2010-07-15
Ross,Riesenschnauzer,Tobias Walsh,2014-01-23
Burton,Bernhardiner,Kevin Sullivan,2017-05-05
Jescie,Mastiff,Sopoline Berg,2014-09-10
Halla,Zwergpinscher,Gregory Becker,2016-04-28
Urielle,Dalmatiner,Samantha Roberson,2010-08-18
Xena,Dachshund,Charde Kramer,2018-11-29
Nissim,Beagle,Neve Wolf,2012-08-07
Conan,Labrador Retriever,Isabella Wade,2013-12-19
Dawn,Deutsch Kurzhaar,Stacey Villarreal,2017-10-03
Chadwick,Golden Retriever,Colton Lloyd,2010-09-22
Howard,Zwergschnauzer,Channing Osborn,2013-10-29
Lane,Franzoesische Bulldogge,Samuel Meyers,2012-05-31
Hannah,Bull Terrier,Zelenia Brooks,2020-03-20
Ruby,Mops,Miriam Acevedo,2019-10-22
